Disease_cn,Level2_dep,Descript,Disease_ab,Alias,Treatment,Head_dep,Id,Symptom
小儿慢性支气管炎,呼吸内科,　　慢性支气管炎(chronic bronchitis)指反复多次的支气管感染，病程超过2年，每年发作时间超过2个月，有咳、喘、炎、痰四大症状，X线胸片显示间质性慢性支气管炎、肺气肿等改变。还应排除具有此类症状的其他疾病如肺结核、肺脓肿、心脏疾患、支气管扩张、支气管哮喘、慢性鼻咽部疾患等。小儿急性支气管炎若咳嗽、咯痰超过2~3周即可考虑进入慢性过程。近年来，也有不少专家认为，将持续性咳嗽伴或不伴咯痰超过3个月定为慢性支气管炎更为适宜。,xemxzqgy1,"
                        ",http://jbk.39.net/xemxzqgy1/yyzl,内科,http://jbk.39.net/xemxzqgy1/jbzs,"支气管分泌物增加,细菌感染,喘息,哮鸣音"
HIV相关呼吸道感染,呼吸内科,　　人类免疫缺陷病毒(human immunodeficiency virus，HIV)又称艾滋病毒。HIV主要破坏CD4 T细胞，导致机体细胞免疫功能损害，最终并发严重机会性感染和肿瘤。本病传播迅速，发病缓慢，病死率极高。,hivxghxdgr," 艾滋病毒相关呼吸道感染,人类免疫缺陷病毒相关呼吸道感染",http://jbk.39.net/hivxghxdgr/yyzl,内科,http://jbk.39.net/hivxghxdgr/jbzs,
痰热咳嗽,呼吸内科,"　　为邪犯气道、肺失宣肃而致痰热蕴肺证患者,若表邪未解可兼见表症。临 床表现为咳嗽、痰 黄稠、咯吐不爽,鼻塞流浊涕,咽痛声哑,舌质红,苔薄黄或腻,脉滑数;西医诊断为支气 管炎,多有受凉感染或接触史,肺部听诊可闻及干、湿性罗音。",trks,"
                        ",http://jbk.39.net/trks/yyzl,内科,http://jbk.39.net/trks/jbzs,
急性支气管炎,呼吸内科,　　急性支气管炎是病毒或细菌等病原体感染所致的支气管粘膜炎症。是婴幼儿时期的常见病、多发病，往往继发于上呼吸道感染之后，也常为肺炎的早期表现。本病多同时累及气管、支气管，故正确命名应为急性气管支气管炎。临床以咳嗽伴(或不伴)有支气管分泌物增多为特征。,jxzqgy,"
                        ",http://jbk.39.net/jxzqgy/yyzl,内科,http://jbk.39.net/jxzqgy/jbzs,
肺性脑病,呼吸内科,　　肺性脑病又称肺心脑综合征，是慢性支气管炎并发肺气肿、肺源性心脏病及肺功能衰竭引起的脑组织损害及脑循环障碍。,fxnb, 肺心脑综合征，肺厥,http://jbk.39.net/fxnb/yyzl,内科,http://jbk.39.net/fxnb/jbzs,"肺性肥大,肺积水,心肺栓塞,肺部肿块"
急性气管－支气管炎,呼吸内科,　　急性气管-支气管炎是由生物、物理、化学刺激或过敏等因素引起的气管-支气管粘膜的急性炎症。临床主要症状有咳嗽和咳痰。常见于寒冷季节或气候突变时。也可由急性上呼吸道感染蔓延而来。,jxqgzqgy,"
                        ",http://jbk.39.net/jxqgzqgy/yyzl,内科,http://jbk.39.net/jxqgzqgy/jbzs,"小支气管粘膜水肿,干性咳嗽,纤毛上皮细胞损伤脱落"
放射性肺炎,呼吸内科,　　放射性肺炎(radiation pneumonitis)系由于肺癌、乳腺癌、食管癌、恶性淋巴瘤或胸部其他恶性肿瘤经放射治疗后，在放射野内的正常肺组织受到损伤而引起的炎症反应。轻者无症状，炎症可自行消散;重者肺脏发生广泛纤维化，导致呼吸功能损害，甚致呼吸衰竭。,fsxfy, 辐射性肺炎,http://jbk.39.net/fsxfy/yyzl,内科,http://jbk.39.net/fsxfy/jbzs,"高热,胸痛,低烧,干性咳嗽,肺纤维化"
铜绿假单胞菌感染,呼吸内科,　　假单胞菌属在自然界分布广泛，对人和动物有致病性的菌种有十余种，以铜绿假单胞菌(绿脓杆菌)在医学中最为重要。本属细菌侵袭性弱，一般认为属条件致病菌。当机体免疫功能受损或缺损时，可引起严重的甚至致死性的感染;手术后或某些治疗操作后(气管切开、保留导尿管等)的患者也易罹患本菌感染，故亦为医院内感染的重要病原菌之一。铜绿假单胞菌可感染人体的血液、呼吸、中枢神经、泌尿等各个系统组织，引起一系列病变。,tljdbjgr, 绿脓杆菌感染,http://jbk.39.net/tljdbjgr/yyzl,内科,http://jbk.39.net/tljdbjgr/jbzs,"发烧,脓肿"
病毒性喉炎,呼吸内科,　　病毒性喉炎是由病毒引起的一种急性呼吸道传染病。治疗上可给予对症治疗和必要抗病毒治疗。,bdxhy,"
                        ",http://jbk.39.net/bdxhy/yyzl,内科,http://jbk.39.net/bdxhy/jbzs,
苯中毒,呼吸内科,　　苯（benzene）是从煤焦油分馏及石油裂解所得的一种芳香烃化合物，系无色有芳香气味的油状液体。挥发甚速，易燃易爆。工业上用作溶剂、稀释剂和化工原料。苯属中等毒类，可引起急性或慢性中毒。,bzd1,"
                        ",http://jbk.39.net/bzd1/yyzl,内科,http://jbk.39.net/bzd1/jbzs,"步态不稳,恶心,白细胞减少,抽搐,感觉障碍"
新生儿窒息,呼吸内科,　　新生儿窒息(asphyxia of the newborn)是指婴儿由于产前、产时或产后的各种病因，使胎儿缺氧而发生宫内窘迫或娩出过程中引起的呼吸、循环障碍，导致生后1min内无自主呼吸或未能建立规律呼吸，以低氧血症、高碳酸血症和酸中毒为主要病理生理改变的疾病。它是新生儿最常见的症状，多为胎儿窒息(宫内窘迫)的延续，也是引起伤残和死亡的主要原因之一。需争分夺秒抢救护理。,xsezx," 草迷,初生不啼,闷气生,梦生,新生儿呼吸暂停症,婴儿假死症",http://jbk.39.net/xsezx/yyzl,内科,http://jbk.39.net/xsezx/jbzs,"皮肤苍白,呼吸浅慢,呼吸抑制,新生儿心力衰竭"
矽肺,呼吸内科,　　矽肺(silicosis)是尘肺中最为严重的一种类型，由于长期吸入含有游离二氧化硅(SiO2)的粉尘所引起。肺部有广泛的结节性纤维化，严重时影响肺功能，丧失劳动能力。,xf," 矽肺病,硅肺,肺石末沉着症,硅肺病,磨工病,石末沉着病",http://jbk.39.net/xf/yyzl,内科,http://jbk.39.net/xf/jbzs,"呼吸困难,啰音,呼气音延长,肺间质纤维化"
慢性肺炎,呼吸内科,　　病程超过3个月者为慢性肺炎。近年来小儿急性肺炎病死率正在降低，但重症肺炎患儿有时未彻底恢复，复发和演变成慢性肺炎者颇不少见。因此，及时地防治慢性肺炎非常重要。,mxfy,"
                                        ",http://jbk.39.net/mxfy/yyzl,内科,http://jbk.39.net/mxfy/jbzs,"支气管脓性分泌物增多,柠檬色痰,呼吸困难,发烧,发绀,极重度精神发育迟滞,过度通气,面部浮肿,气喘"
ARDS,呼吸内科,"　　急性呼吸窘迫综合征(acute respiratory distress syndrome,ARDS)是指严重感染、创伤、休克等肺内外袭击后出现的急性、进行性缺氧性呼吸衰竭。以肺泡毛细血管损伤为主要表现，属于急性肺损伤(acute lung injury,ALI)是严重阶段或类型。其临床特征呼吸频速和窘迫，进行性低氧血症，X线呈现弥漫性肺泡浸润。本症与婴儿呼吸窘迫综合征颇为相似，但其病因和发病机制不尽相同，故提出成人呼吸窘迫综合征(adult respiratory distress syndrome)的命名。现在称为急性呼吸窘迫综合征，缩写仍是ARDS。",crhxjpzhz, 成人呼吸窘迫综合征,http://jbk.39.net/crhxjpzhz/yyzl,内科,http://jbk.39.net/crhxjpzhz/jbzs,"呼吸急促,心源性呼吸窘迫,呼吸困难"
老年人肺炎,呼吸内科,　　与年轻人比较，老年肺炎的发病率和死亡率均显著增加的原因是多方面的，客观上，因机体老化，呼吸系统解剖和功能的改变导致全身和呼吸道局部的防御和免疫功能降低，心肺肝肾等重要脏器的功能储备减弱或罹患多种慢性严重疾病、营养不良等;主观原因则是医生或患者自己对老年肺炎的不典型临床表现认识不足，诊断延误和治疗措施不当。,lnrfy,  老年肺炎,http://jbk.39.net/lnrfy/yyzl,内科,http://jbk.39.net/lnrfy/jbzs,
肺不张,呼吸内科,　　肺不张(atelectasis)系指一个或多个肺段或肺叶的容量或含气量减少。由于肺泡内气体吸收，肺不张通常伴有受累区域的透光度降低，邻近结构(支气管、肺血管、肺间质)向不张区域聚集，有时可见肺泡腔实变，其他肺组织代偿性气肿。肺小叶、段(偶为肺叶)之间的侧支气体交通可使完全阻塞的区域仍可有一定程度的透光。　　肺不张可分为先天性或后天获得性两种。先天性肺不张是指婴儿出生时肺泡内无气体充盈，临床上有严重的呼吸困难与发绀，患儿多在出生后死于严重的缺氧。临床绝大多数肺不张为后天获得性，为本章讨论的重点。,fbz," 肺不张病,肺膨胀不全,肺陷落",http://jbk.39.net/fbz/yyzl,内科,http://jbk.39.net/fbz/jbzs,
热感冒,呼吸内科,　　暑热感冒是因久旱酷热而生，属于纯粹的阳热证候。此类感冒的重要特征是热象突出，是四季感冒中症状较重的一种类型。发生于夏季最炎热的七、八月间，由于气温较高，毛窍开泄，故易感受暑热之邪而发病。,srgm, 暑热感冒,http://jbk.39.net/srgm/yyzl,内科,http://jbk.39.net/srgm/jbzs,
痰饮,呼吸内科,　　痰饮是痰和饮都是津液代谢障碍所形成的病理产物。一般以较稠浊的称为痰，清稀的称为饮。痰不仅是指咳吐出来有形可见的痰液，还包括瘰疬、痰核和停滞在脏腑经络等组织中的痰液，临床上可通过其所表现的证候来确定，这种痰称为无形之痰.,ty,"
                        ",http://jbk.39.net/ty/yyzl,内科,http://jbk.39.net/ty/jbzs,
链球菌感染,呼吸内科,　　链球菌属(Streptococcus)细菌侵入人体引起的疾病。分2类：一类是感染性疾病，如急性扁桃体炎、脓皮病、肺炎等;另一类为变态反应性疾病，如急性肾小球肾炎等链球菌感染为人类常见疾病，不仅遍及世界各地，而且四季均可发生。肺炎链球菌旧称肺炎双球菌(Diplococ- cuspneumoniae)，存在于正常人体的口、鼻、咽腔，人体抵抗力降低时方致病，主要引起大叶性肺炎。,lqjgr1,"
                                ",http://jbk.39.net/lqjgr1/yyzl,内科,http://jbk.39.net/lqjgr1/jbzs,
小儿结核病,呼吸内科,　　结核病(tuberculosis)是由结核杆菌引起的慢性传染病。全身各个器官都可累及，但以肺结核病为最多见。　　30年来由于推广了卡介苗接种及应用抗结核药物治疗，结核病流行情况大为好转，但由于目前人口众多，结核病仍为目前我国常见病。　　目前，世界结核病流行的两个问题是：　　(1)多种耐药结核菌感染。　　(2)爱滋病与结核病在感染及发病上相互间的不良影响,xejhb,"
                                ",http://jbk.39.net/xejhb/yyzl,内科,http://jbk.39.net/xejhb/jbzs,"呼吸困难,白细胞增多,鼻部结核,低烧,疱疹,血丝痰,结核中毒,免疫缺陷,淋巴结结核"
结节病,呼吸内科,　　结节病(sarcoidosis)是一种病因未明的多系统肉芽肿性疾病。临床上以双侧肺门淋巴结肿大、肺浸润及皮肤、眼睛损害为主要表现，肉芽肿结节可侵犯全身各器官。常见于青壮年，临床上90%以上有肺的改变，以双肺门淋巴结肿大、肺浸润、眼及皮肤损害为特征。肝、脾、淋巴结、唾液腺、心脏、神经系统、肌肉、骨骼和其他器官亦可受累。当具有典型的临床和X线表现，同时组织学上具有非干酪上皮样细胞肉芽肿即可做出诊断，但应除外其他肉芽肿性疾病。该病的免疫学特征为皮肤迟缓样过敏反应受到抑制及Ⅰ型辅助T细胞(TH1)免疫反应增强，同时可见循环免疫复合物及B细胞反应增高。,jjb, 肉样瘤病，Boeck肉样瘤，Schaumann良性淋巴肉芽肿病，Besnier冻疮样狼疮,http://jbk.39.net/jjb/yyzl,内科,http://jbk.39.net/jjb/jbzs,"腮腺肿大,关节肿胀,心动过速,肉芽肿,呼吸困难"
病毒性肺炎,呼吸内科,　　病毒性肺炎是由多种病毒感染引起的支气管肺炎。多发生于冬春季节。临床表现一般较轻。主要症状为干咳、发热、呼吸困难、紫绀和食欲减退。肺部体征较少，血白细胞计数正常或稍增高。胸部X线检查有斑片状炎症阴影。一般病程约1-2周。,bdxfy, 肺热症,http://jbk.39.net/bdxfy/yyzl,内科,http://jbk.39.net/bdxfy/jbzs,"两肺毛玻璃样粟粒样或结节样改变,干咳,乏力,肺纹理增粗,肺门增宽,高热"
老年人慢性支气管炎,呼吸内科,　　慢性支气管炎(chronic bronchitis)是由于感染或非感染因素引起的气管-支气管黏膜及其周围组织的慢性非特异性炎症。其病理特点是支气管黏液腺增生、黏液分泌增加。临床上表现为连续2年以上，每年持续3个月以上的咳嗽、咳痰或气喘等症状。本病起病隐袭，早期症状轻微，多在冬季发作，春暖后缓解;后期症状加重并常年存在。病程迁延反复，常可并发肺气肿和肺源性心脏病。,lnrmxzqgy, 老年慢性支气管炎,http://jbk.39.net/lnrmxzqgy/yyzl,内科,http://jbk.39.net/lnrmxzqgy/jbzs,"呼吸音粗糙,呼吸音低,喘息,哮鸣音,水肿"
SARS,呼吸内科,"　　传染性非典型肺炎（严重急性呼吸综合症，SARS）是由SARS冠状病毒（SARS-CoV）引起的一种具有明显传染性、可累及多个脏器系统的特殊肺炎，世界卫生组织（WHO）将其命名为严重急性呼吸综合症（severe acute respiratory syndrome,SARS）。临床上以发热、乏力、头痛、肌肉关节酸痛等全身症状和干咳、胸闷、乏力、头痛、肌肉关节酸痛等全身症状和干咳、胸闷、呼吸困难等呼吸道症状为主要表现，部分病例可有腹泻等消化道症状；胸部X线检查可见肺部炎性浸润影、实验室检查外周血白细胞计数正常或降低、抗菌药物治疗无效是其重要特征。重症病例表现明显的呼吸困难，并可迅速发展成为急性呼吸窘迫综合征（acute respiratory distress syndrome,ARDS）。截至2003年8月7日，全球累计发病例数为8422例，依据报告病例计算的平均病死率达到了9.3%。",fd," 非典型肺炎,严重急性呼吸综合征,严重急性呼吸道症候群，非典，传染性非典型肺炎",http://jbk.39.net/fd/yyzl,内科,http://jbk.39.net/fd/jbzs,"持续性发热,呼吸困难,干咳,怕冷,高热"
病毒性咽炎,呼吸内科,　　病毒性咽炎系病毒所引起的咽部急性感染。多在咽部、口腔粘膜及其周围皮肤发生疱疹，也可发生于角膜及外生殖器。,bdxyy,"
                        ",http://jbk.39.net/bdxyy/yyzl,内科,http://jbk.39.net/bdxyy/jbzs,"咽部灼热疼痛,咽部粘膜弥漫充血,疱疹,喉咙痒,咽喉干燥充血,淋巴结肿大"
睡眠呼吸暂停综合征,呼吸内科,　　睡眠呼吸暂停综合征(sleep apnea syndrome，SAS)是指夜间睡眠7h内，口或鼻腔气流持续停止10s以上，并超过30次者。常见病因有鼻中隔偏曲、鼻息肉、鼻咽部腺样体肥大、巨舌症、扁桃体肥大、下颌畸形、慢性阻塞性肺病、肺心病、肥胖呼吸困难嗜睡综合征、肢端肥大症、黏液性水肿、高原红细胞增多症、药物性呼吸抑制、延髓灰质炎等。呼吸暂停可分为中枢型(胸腹肌无呼吸动作)、阻塞型(胸腹肌尽力作呼吸动作)及混合型(胸腹肌开始无呼吸动作，以后出现并逐渐加强)，在此期间均无自主呼吸。,smhxztzhz," 睡眠呼吸暂停综合症,睡眠无呼吸综合征",http://jbk.39.net/smhxztzhz/yyzl,内科,http://jbk.39.net/smhxztzhz/jbzs,
吸入性肺炎,呼吸内科,　　吸入性肺炎(aspiration pneumonitis)系吸入酸性物质、动物脂肪如食物、胃容物以及其他刺激性液体和发挥性的碳氢化合物后，引起的化学性肺炎。严重者可发生呼吸衰竭或呼吸窘迫综合征。,xrxfy,"
                                        ",http://jbk.39.net/xrxfy/yyzl,内科,http://jbk.39.net/xrxfy/jbzs,"支气管脓性分泌物增多,痉挛性咳嗽,哮鸣音,发绀,低氧血症,啰音,呼吸困难,气急,逆行性细菌感染"
慢性肺源性心脏病,呼吸内科,　　慢性肺源性心脏病(chronic cor pulmonale)是由肺组织、肺动脉血管或胸廓的慢性病变引起肺组织结构和功能异常，产生肺血管阻力增加，肺动脉压力增高，使右心扩张、肥大，伴或不伴右心衰竭的心脏病。　　它可以发生于老年人，但多数是从中年迁延发展而来。老年肺心病大多是从慢性阻塞性肺疾病(chronic obstructive pulmonary disease，COPD)发展而来。它的发病率很高，尤其在吸烟人群中，且呈逐年增高的趋势。,mxfyxxzb," 肺原性心脏病,慢性肺心病,慢性肺原性心脏病，肺心病",http://jbk.39.net/mxfyxxzb/yyzl,内科,http://jbk.39.net/mxfyxxzb/jbzs,"呼吸困难,喘息,意识模糊"
肺水肿,呼吸内科,　　肺水肿(pulmonary edema)是指由于某种原因引起肺内组织液的生成和回流平衡失调，使大量组织液在很短时间内不能被肺淋？巴和肺静脉系统吸收，从肺毛细血管内外渗，积聚在肺泡、肺间质和细小支气管内，从而造成肺通气与换气功能严重障碍，在临床临床表现为极度呼吸困难，端坐呼吸，紫绀，大汗淋漓，阵发性咳嗽伴大量白色或粉红色泡沫痰，双肺布满对称性湿啰音，X线胸片可见两肺蝶形片状模糊阴影，晚期可出现休克甚至死亡。动脉血气分析早期可有低O2、低CO2分压、严重缺O2、CO2 潴留及混合性酸中毒，属临床危重症之一。,fsz,"
                        ",http://jbk.39.net/fsz/yyzl,内科,http://jbk.39.net/fsz/jbzs,"端坐呼吸,呼吸困难,湿啰音,肺通气一血流比例失调,混合型酸碱平衡紊乱"
夏季感冒,呼吸内科,　　暑湿季节感受到风寒之邪或风热之邪诱发的感冒，称之为暑湿感冒。多发生在夏季。,ssgm, 暑湿感冒,http://jbk.39.net/ssgm/yyzl,内科,http://jbk.39.net/ssgm/jbzs,
慢性咳嗽,呼吸内科,　　慢性咳嗽一般是指超过3周的咳嗽。也有学者认为咳嗽8周才可称为慢性咳嗽。引起慢性咳嗽的六大病因为：鼻后滴漏综合症、咳嗽变异性哮喘、胃食道反流、嗜酸粒细胞性支气管炎、慢性咽喉炎、心因性咳嗽。,mxks,"
                                        ",http://jbk.39.net/mxks/yyzl,内科,http://jbk.39.net/mxks/jbzs,
COPD,呼吸内科,　　慢性阻塞性肺疾病简称慢阻肺(COPD)，是一种破坏性的肺部疾病，是以不完全可逆的气流受限为特征的疾病，气流受限通常呈进行性发展并与肺对有害颗粒或气体的异常炎症反应有关。COPD是一种可以预防和治疗的慢性气道炎症性疾病。COPD虽然是气道的疾病，但对全身的系统影响也不容忽视。,mxzsxfjb," 慢性阻塞性肺疾病,慢阻肺",http://jbk.39.net/mxzsxfjb/yyzl,内科,http://jbk.39.net/mxzsxfjb/jbzs,"呼吸困难,喘息,胸闷,呼吸音减弱,食欲减退,气短,啰音,桶状胸,肺纤维化"
白喉,呼吸内科,　　白喉(diphtheria)是由白喉棒状杆菌经引起的急性呼吸道传染病。白喉外毒素是主要致病因素。其临床特征为咽、喉、鼻等处黏膜充血、肿胀并有灰白色假膜形成，以及由细菌外毒素引起的全身中毒症状，严重者可有中毒性心肌炎和周围神经麻痹。本病呈世界性分布，四季均可发病，以秋季冬季较多。我国广泛推行白喉类毒素接种，发病率、死亡率显著降低。现仅在未进行免疫接种或免疫不完全的人群中偶然散发。,bh,"
                                ",http://jbk.39.net/bh/yyzl,内科,http://jbk.39.net/bh/jbzs,"白喉假膜形成,扁桃体上有灰色膜,扁桃体充血,干咳"
SAS,呼吸内科,　　如果睡眠时口咽、鼻咽部无气流通过的时间长达十秒以上，即可称为打鼾(医学术语为鼾症、打呼噜、睡眠呼吸暂停综合症)，目前大多数人认为这是司空见惯的，而不以为然，还有人把打呼噜看成睡得香的表现。其实打呼噜是健康的大敌，由于打呼噜使睡眠呼吸反复暂停，造成大脑、血液严重缺氧，形成低血氧症，而诱发高血压、脑心病、心率失常、心肌梗死、心绞痛。夜间呼吸暂停时间超过120秒容易在凌晨发生猝死。,hz," 鼾症,睡眠呼吸紊乱,睡眠呼吸暂停综合症",http://jbk.39.net/hz/yyzl,内科,http://jbk.39.net/hz/jbzs,"嗜睡,睡眠呼吸暂停,睡眠节律紊乱,打呼噜,头痛,疲劳,睡眠猝死"
结核性胸膜炎,呼吸内科,　　当肺部结核炎症累及胸膜时引起的胸膜炎症称为结核性胸膜炎。在某些情况下胸膜炎是通过血行感染而致病的，也有部分是与机体的变态反应有关。常有积液少量至中等量，由于结核性胸膜炎渗液中的蛋白质较高，易引起胸膜粘连及肥厚。,jhxxmy,"
                                        ",http://jbk.39.net/jhxxmy/yyzl,内科,http://jbk.39.net/jhxxmy/jbzs,"咳嗽,胸痛,发烧,气促,低烧,消瘦,胃纳差"
风热感冒,呼吸内科,　　风热感冒是风热之邪犯表、肺气失和所致。症状表现为发热重、微恶风、头胀痛、有汗、咽喉红肿疼痛、咳嗽、痰粘或黄、鼻塞黄涕、口渴喜饮、舌尖边红、苔薄白微黄。风热感冒多见于夏秋季，外感风热所致。中医认为，风热感冒是感受风热之邪所致的表证。,frgm,"
                        ",http://jbk.39.net/frgm/yyzl,内科,http://jbk.39.net/frgm/jbzs,"发烧,头痛,咽喉疼痛,咳嗽,痰呈粘液脓性,鼻塞,舌尖边红,苔薄黄"
新生儿肺炎,呼吸内科,　　新生儿肺炎(pneumonia of newborn)是新生儿期感染性疾病中最常见的疾病，发病率高、死亡率也较高。　　以弥漫性肺部病变及不典型的临床表现为其特点。大多数新生儿肺炎是生后感染引起的，称晚发型肺炎，主要是家庭中与新生儿密切接触的成员感冒或呼吸道感染后通过飞沫传播给新生儿的;少数是在宫内或分娩过程中感染的。如果不及时治疗会引起呼吸窘迫、甚至窒息，严重者会因为缺氧引起大脑损伤，留下永久的后遗症(如癫痫)。,xsefy," 小儿肺炎,新生儿吸入性肺炎和感染性肺炎",http://jbk.39.net/xsefy/yyzl,内科,http://jbk.39.net/xsefy/jbzs,"新生儿气促,鼻翼扇动,喘息,呼吸困难,肺部啰音,发绀,窒息,呼吸衰竭,发烧,呼吸暂停"
扁桃体炎,呼吸内科,　　扁桃体炎是扁桃体的炎症。临床上分为急性和慢性两种，主要症状是咽痛、发热及咽部不适感等。此病可引起耳、鼻以及心、肾、关节等局部或全身的并发症，故应予重视。扁桃体炎的致病原以溶血性链球菌为主，其他如葡萄球菌、肺炎球菌、流感杆菌以及病毒等也可引起。,btty,"
                                        ",http://jbk.39.net/btty/yyzl,内科,http://jbk.39.net/btty/jbzs,"恶寒,高热,喉咙痛,咽痛,疲劳,食欲不振,吞咽痛,扁桃体充血,扁桃体发炎,扁桃体充血肥大"
败血症,呼吸内科,　　由致病菌侵入血液循环并在其中生长繁殖，产生毒素而引起的全身性感染，易在人体抵抗力降低的情况下发生。临床上主要表现为寒战、高热、毒血症症状、皮疹、关节痛、肝脾大、感染性休克、迁徙性病灶等。分革兰阳性球菌败血症、革兰阴性杆菌败血症和脓毒败血症。绝大多数呈急性病程，病情重，预后差。如今更进一步认为败血症是致病菌及其毒素和代谢产物进入血流后激活并释放炎症介子而引起的一系列连锁反应过程。这一过程，在临床上可导致全身多脏器的功能紊乱和衰竭。即不仅看到了致病菌在机体内的存在状态，也重视了机体的免疫应答反应及结果。现已知炎症介子有补体成分、花生四烯酸代谢产物、肿瘤因子(TNF)、白细胞介素(IL-s)、干扰素(IF-a)、血小板活化因子(PAF)、巨噬细胞前炎症细胞因子(MPIC)、蛋白酶、凝血恶烷和氧自由基等。以抗生素治疗为主，辅以其他治疗方法。预防措施为避免皮肤粘膜受损，防止细菌感染。,bxz," 败血病,菌血症",http://jbk.39.net/bxz/yyzl,内科,http://jbk.39.net/bxz/jbzs,"头痛,昏迷,寒战,高热,意识模糊,少尿"
气胸,呼吸内科,　　气胸是指无外伤或人为因素情况下，脏层胸膜破裂，气体进入胸膜腔导致胸腔积气而引起的病理生理状况.肺无明显病变由胸膜下气肿泡破裂形成者称特发性气胸;继发于慢阻肺肺结核等胸膜及肺疾病者称继发性气胸.按病理生理变化又分为闭合性(单纯性) 、开放性(交通性)和张力性(高压性)三类。,qx, 自发性气胸,http://jbk.39.net/qx/yyzl,内科,http://jbk.39.net/qx/jbzs,"胸痛,胸闷,烦躁不安,紫绀,呼吸困难,发绀,血压下降,意识模糊"
支气管肺炎,呼吸内科,　　支气管肺炎(bronchopneumonia)又称小叶肺炎，为小儿最常见的肺炎。发展中国家小儿肺炎的发病率明显高于发达国家，病死率和玹死亡率更高于发达国家。和其他发展中国家相似，小儿肺炎是威胁我国儿童健康的严重疾病，无论是发病率还是病死率均居首位。在我国，肺炎占儿科住院患者24.5%～65.2%;5岁以下儿童每年105万死亡病例中，死于肺炎者占30万为此年龄组儿童第一位死因。根据国内16个单位的儿科统计，22504例肺炎住院病例中支气管肺炎占93.7%，多见于婴幼儿。肺炎多发生于冬春季节及气候骤变时，有些华南地区反而在夏天发病较多。室内居住拥挤、通风不良、空气污浊、致病性微生物较多，容易发生肺炎。支气管肺炎可由细菌或病毒引起。按病理形态的改变分为一般支气管肺炎和间质性支气管肺炎两类。前者多由细菌所致，后者则以病毒为主。临床常笼统地诊断为支气管肺炎。,zqgfy, 小叶肺炎，小叶性肺炎,http://jbk.39.net/zqgfy/yyzl,内科,http://jbk.39.net/zqgfy/jbzs,"咳嗽,咳痰,呼吸困难,烦躁不安,发烧,紫绀,昏迷"
百日咳,呼吸内科,　　百日咳(pertussis，whooping cough)是小儿常见的急性呼吸道传染病，百日咳杆菌是本病的致病菌。其特征为阵发性痉挛性咳嗽，咳嗽末伴有特殊的吸气吼声，病程较长，可达数周甚至3个月左右，故有百日咳之称。幼婴患本病时易有窒息、肺炎、脑病等并发症，病死率高。近年来幼婴及成人发病有增多趋势。,brk, 疫咳，顿咳,http://jbk.39.net/brk/yyzl,内科,http://jbk.39.net/brk/jbzs,"咳嗽,喉部痉挛,流鼻涕,打喷嚏,口唇发绀,流泪"
风寒感冒,呼吸内科,　　风寒感冒是因风吹受凉而引起的感冒，秋冬发生较多。其症状为浑身酸痛、鼻塞流涕、咳嗽有痰。治疗上西药、中药皆可，亦可采用食疗，不但祛病，而且保健。预防措施为注意保暖，加强体育锻炼，提高免疫力，也可提前打预防针。,fhgm,"
                        ",http://jbk.39.net/fhgm/yyzl,内科,http://jbk.39.net/fhgm/jbzs,"头痛,流清涕,怕冷,头重如裹,手足逆冷,咳嗽,浑身酸痛"
小儿哮喘,呼吸内科,　　支气管哮喘(bronchial asthma)，哮喘是一种表现反复发作性咳嗽、喘鸣和呼吸困难，并伴有气道高反应性的可逆性、梗阻性呼吸道疾病。　　哮喘是一种严重危害儿童身体健康的常见慢性呼吸道疾病，其发病率高，常表现为反复发作的慢性病程，严重影响了患儿的学习、生活及活动，影响儿童青少年的生长发育。不少儿童哮喘患者由于治疗不及时或治疗不当最终发展为成人哮喘而迁延不愈，肺功能受损，部分患者甚至完全丧失体力活动能力。严重哮喘发作，若未得到及时有效治疗，可以致命。　　有关哮喘的定义、病因学、发病机制、免疫学、病理生理学及诊断和治疗原则等，儿童与成人基本上相似。但哮喘儿童正处于智能、身体、心理及免疫系统等不断生长发育过程，尤其在免疫学和病理生理学等方面，儿童哮喘有其特殊的方面。,xexc, 小儿支气管哮喘，儿童期哮喘，儿童哮喘,http://jbk.39.net/xexc/yyzl,内科,http://jbk.39.net/xexc/jbzs,"支气管平滑肌痉挛,鼻翼扇动,低氧血症,呼吸音减弱,说话时字词不能连续,干咳,喘息,气急,面色苍白"
气管炎,呼吸内科,　　气管炎(chronic bronchitis)是由于感染或非感染因素引起的气管、支气管粘膜炎性变化，粘液分泌增多，临床上以长期咳嗽、咯痰或伴有喘息为主要特征。本病早期症状较轻，多在冬季发作，春暖后缓解，且病程缓慢，故不为人们注意。晚期病变进展，并发阻塞性肺气肿时，肺功能遭受损害，影响健康及劳动力极大。本病为我国常见多发病之一，发病年龄多在40岁以上，吸烟患者明显高于不吸烟患者，在我国患病率北方高于南方，农村较城市发病率稍高。,qgy1,"
                        ",http://jbk.39.net/qgy1/yyzl,内科,http://jbk.39.net/qgy1/jbzs,"咳嗽,咳痰,吐白沫痰,痰呈粘液脓性,湿啰音,呼吸音粗糙,气短,喘息,哮鸣音,咳泡沫黏液痰,小支气管痉挛,高热"
